Name:          PqSãoMatheus_PqGuarus
Optimal value:             
#Vehicles:     -1          
Capacity:      10000       
Depot Node:    1           
#Nodes:        281         
#Edges:        329         
#Arcs:         119         
#Required N:   0           
#Required E:   294         
#Required A:   91          

ReN.     DEMAND   S.COST  

ReE.     From N.  To N.    T. COST  DEMAND   S.COST  
E142     180      181      0.48     105.92   1.27    
E143     180      182      0.50     110.06   1.32    
E144     180      183      0.68     150.50   1.81    
E145     176      184      0.28     62.34    0.75    
E146     176      185      0.30     67.15    0.81    
E147     174      186      0.43     94.68    1.14    
E148     185      187      0.22     48.72    0.59    
E149     169      188      0.05     12.18    0.15    
E150     177      179      0.68     151.75   1.82    
E151     188      190      0.38     84.38    1.01    
E152     189      192      1.39     309.09   3.72    
E153     19       170      0.22     49.73    0.60    
E154     19       185      0.32     70.39    0.85    
E155     195      196      0.26     56.60    0.68    
E156     195      197      0.61     134.93   1.62    
E157     179      199      0.06     13.99    0.17    
E158     20       202      0.46     102.32   1.23    
E159     199      203      0.15     32.96    0.40    
E160     199      204      0.29     64.70    0.78    
E161     120      177      0.30     66.39    0.80    
E162     120      201      0.03     7.47     0.09    
E163     201      205      0.75     166.02   2.00    
E164     190      206      0.97     214.82   2.58    
E165     190      207      0.40     89.57    1.08    
E166     208      209      0.08     18.64    0.22    
E167     207      212      1.04     231.60   2.78    
E168     214      217      0.26     57.63    0.69    
E169     220      224      0.72     160.08   1.92    
E170     223      227      0.54     119.65   1.44    
E171     144      216      0.31     68.37    0.82    
E172     226      228      0.36     79.35    0.95    
E173     211      212      0.72     159.58   1.92    
E174     24       121      0.72     160.09   1.92    
E175     24       29       0.30     67.04    0.81    
E176     192      198      0.34     74.60    0.90    
E177     192      234      0.14     31.22    0.38    
E178     97       162      0.06     12.29    0.15    
E179     206      235      0.12     26.00    0.31    
E180     206      234      0.37     82.12    0.99    
E181     234      236      0.14     31.86    0.38    
E182     237      238      0.34     75.80    0.91    
E183     237      239      0.63     139.74   1.68    
E184     237      240      0.33     73.36    0.88    
E185     235      241      0.18     39.11    0.47    
E186     238      242      0.48     106.91   1.28    
E187     212      235      0.32     70.26    0.84    
E188     231      246      0.79     174.84   2.10    
E189     236      241      0.32     72.02    0.87    
E190     236      246      0.24     52.31    0.63    
E191     247      248      0.33     72.62    0.87    
E192     241      250      0.22     49.76    0.60    
E193     251      252      0.33     73.77    0.89    
E194     246      250      0.22     49.84    0.60    
E195     248      252      0.37     82.66    0.99    
E196     255      256      0.34     75.32    0.91    
E197     16       248      0.05     11.86    0.14    
E198     16       257      0.39     87.13    1.05    
E199     252      257      0.18     38.84    0.47    
E200     252      256      0.69     152.62   1.83    
E201     26       30       0.04     9.98     0.12    
E202     30       75       0.43     95.84    1.15    
E203     239      259      0.05     11.10    0.13    
E204     43       250      0.25     56.47    0.68    
E205     261      262      0.05     10.58    0.13    
E206     262      263      0.15     34.34    0.41    
E207     39       78       0.12     27.48    0.33    
E208     39       140      0.22     48.75    0.59    
E209     39       133      0.23     51.07    0.61    
E210     260      261      0.11     23.85    0.29    
E211     260      264      0.05     11.60    0.14    
E212     264      265      0.29     65.09    0.78    
E213     256      266      0.94     208.00   2.50    
E214     258      263      0.05     10.89    0.13    
E215     258      267      0.23     50.66    0.61    
E216     133      157      0.21     47.30    0.57    
E217     267      268      0.36     80.62    0.97    
E218     75       267      0.13     28.21    0.34    
E219     265      267      0.46     103.10   1.24    
E220     265      269      0.38     83.43    1.00    
E221     80       259      0.37     80.98    0.97    
E222     80       265      0.11     24.97    0.30    
E223     80       266      0.03     5.71     0.07    
E224     41       156      0.05     10.31    0.12    
E225     41       158      0.15     32.45    0.39    
E226     41       75       0.46     101.11   1.22    
E227     134      157      0.14     30.25    0.36    
E228     134      270      0.13     28.44    0.34    
E229     11       257      0.79     176.22   2.12    
E230     11       256      0.42     93.73    1.13    
E231     45       47       0.22     48.80    0.59    
E232     45       271      0.13     29.43    0.35    
E233     268      269      0.04     9.15     0.11    
E234     6        9        0.28     63.12    0.76    
E235     6        266      0.74     164.35   1.98    
E236     125      185      0.31     69.75    0.84    
E237     125      170      0.45     99.53    1.20    
E238     5        82       0.67     147.70   1.78    
E239     82       99       0.25     54.47    0.65    
E240     99       162      0.23     50.96    0.61    
E241     135      270      0.21     47.66    0.57    
E242     46       135      0.12     27.63    0.33    
E243     46       271      0.22     47.91    0.58    
E244     270      271      0.13     29.85    0.36    
E245     51       270      0.22     48.10    0.58    
E246     51       53       0.13     28.41    0.34    
E247     51       58       0.22     47.79    0.57    
E248     53       271      0.22     48.43    0.58    
E249     53       62       0.21     47.35    0.57    
E250     58       62       0.13     29.71    0.36    
E251     181      213      0.14     31.61    0.38    
E252     181      215      0.27     58.84    0.71    
E253     118      273      0.54     120.87   1.45    
E254     118      166      0.36     79.76    0.96    
E255     273      274      0.12     25.63    0.31    
E256     166      274      0.61     135.95   1.63    
E257     274      275      0.50     112.01   1.35    
E258     182      276      0.02     5.39     0.06    
E259     182      273      0.77     170.77   2.05    
E260     164      276      0.04     9.88     0.12    
E261     172      173      0.25     55.45    0.67    
E262     172      174      0.18     39.15    0.47    
E263     172      195      0.26     57.22    0.69    
E264     153      180      0.34     75.02    0.90    
E265     153      178      0.05     10.92    0.13    
E266     175      195      0.36     79.85    0.96    
E267     186      197      0.26     56.59    0.68    
E268     148      208      0.23     51.75    0.62    
E269     148      175      0.26     58.45    0.70    
E270     148      196      0.36     80.51    0.97    
E271     102      186      0.26     56.75    0.68    
E272     102      110      0.26     57.88    0.70    
E273     102      277      0.25     56.55    0.68    
E274     110      279      0.27     58.84    0.71    
E275     196      216      0.25     54.65    0.66    
E276     196      280      0.61     135.34   1.63    
E277     197      277      0.26     56.88    0.68    
E278     197      280      0.26     57.03    0.69    
E279     115      278      0.09     19.72    0.24    
E280     115      222      0.35     77.59    0.93    
E281     209      216      0.28     63.04    0.76    
E282     277      279      0.19     41.42    0.50    
E283     116      208      0.05     10.88    0.13    
E284     116      225      0.35     76.82    0.92    
E285     116      209      0.10     22.39    0.27    
E286     129      280      0.36     79.72    0.96    
E287     130      216      0.61     134.69   1.62    
E288     130      280      0.25     54.53    0.66    
E289     217      237      0.37     82.92    1.00    
E290     69       238      0.37     82.05    0.99    
E291     69       217      0.34     75.45    0.91    
E292     25       240      0.04     9.40     0.11    
E293     113      279      0.14     32.09    0.39    
E294     113      129      0.12     27.65    0.33    

EDGE     From N.  To N.    T. COST 
NrE1     1        2        18.10   
NrE2     1        3        343.49  
NrE3     3        7        18.50   
NrE4     2        10       467.59  
NrE5     10       12       95.05   
NrE6     12       17       58.71   
NrE7     18       19       31.40   
NrE8     98       99       412.42  
NrE9     7        98       140.11  
NrE10    111      112      112.01  
NrE11    111      114      3544.90 
NrE12    119      121      11.57   
NrE13    141      142      11.55   
NrE14    132      143      11.95   
NrE15    151      152      16.95   
NrE16    19       193      15.89   
NrE17    20       200      10.90   
NrE18    23       203      10.11   
NrE19    207      211      151.31  
NrE20    207      211      215.83  
NrE21    207      211      151.31  
NrE22    207      211      215.83  
NrE23    213      214      11.90   
NrE24    70       218      11.36   
NrE25    220      221      11.66   
NrE26    223      225      11.48   
NrE27    144      226      11.40   
NrE28    112      138      138.61  
NrE29    198      229      13.57   
NrE30    17       138      60.74   
NrE31    243      245      13.80   
NrE32    231      244      12.74   
NrE33    249      251      12.33   
NrE34    253      254      13.85   
NrE35    74       81       14.08   
NrE36    68       219      11.80   
NrE37    191      194      13.01   

ReA.     FROM N.  TO N.    T. COST  DEMAND   S.COST  
A1       18       20       0.55     122.71   1.47    
A2       27       30       0.49     108.96   1.31    
A3       119      120      0.34     75.88    0.91    
A4       131      132      0.14     31.33    0.38    
A5       141      143      0.20     44.68    0.54    
A6       142      144      0.24     54.22    0.65    
A7       132      142      0.20     44.25    0.53    
A8       143      145      0.12     27.51    0.33    
A9       151      153      0.16     35.55    0.43    
A10      152      154      0.46     101.05   1.21    
A11      128      161      0.06     14.15    0.17    
A12      162      81       0.68     151.27   1.82    
A13      188      189      0.13     29.44    0.35    
A14      189      191      0.06     12.79    0.15    
A15      19       194      0.37     82.91    1.00    
A16      193      18       0.05     12.16    0.15    
A17      193      198      1.17     259.85   3.12    
A18      184      187      0.19     42.38    0.51    
A19      200      184      0.07     15.08    0.18    
A20      20       201      0.35     76.61    0.92    
A21      120      200      0.35     76.72    0.92    
A22      201      121      0.34     76.21    0.92    
A23      121      23       0.34     74.86    0.90    
A24      203      119      0.34     75.58    0.91    
A25      23       210      0.35     78.39    0.94    
A26      204      203      0.24     53.28    0.64    
A27      213      215      0.23     52.06    0.63    
A28      214      68       0.35     76.66    0.92    
A29      218      219      0.35     77.38    0.93    
A30      202      18       0.76     169.04   2.03    
A31      70       220      0.34     75.46    0.91    
A32      221      222      0.28     61.25    0.74    
A33      220      223      0.34     74.90    0.90    
A34      225      221      0.33     73.86    0.89    
A35      223      226      0.35     77.40    0.93    
A36      144      225      0.35     77.15    0.93    
A37      226      141      0.24     53.57    0.64    
A38      161      131      0.13     29.45    0.35    
A39      229      202      0.38     83.46    1.00    
A40      145      230      0.05     10.22    0.12    
A41      198      231      0.37     81.16    0.98    
A42      230      228      0.64     142.77   1.72    
A43      205      229      0.09     19.72    0.24    
A44      228      243      0.10     23.01    0.28    
A45      244      205      0.27     59.39    0.71    
A46      243      227      0.27     58.80    0.71    
A47      231      27       0.19     41.99    0.50    
A48      247      233      0.71     157.51   1.89    
A49      245      247      0.07     15.11    0.18    
A50      227      249      0.05     10.16    0.12    
A51      249      224      0.34     74.53    0.90    
A52      29       244      0.18     39.90    0.48    
A53      251      245      0.31     69.28    0.83    
A54      224      253      0.07     14.91    0.18    
A55      253      71       0.31     69.23    0.83    
A56      254      251      0.40     89.26    1.07    
A57      71       242      0.37     82.65    0.99    
A58      255      254      0.23     50.81    0.61    
A59      242      239      0.38     84.54    1.02    
A60      26       29       0.47     104.14   1.25    
A61      30       258      0.24     52.74    0.63    
A62      239      260      0.24     53.28    0.64    
A63      259      255      0.86     190.38   2.29    
A64      261      240      0.73     161.41   1.94    
A65      264      259      0.19     41.49    0.50    
A66      263      26       0.27     60.02    0.72    
A67      268      74       0.60     133.30   1.60    
A68      74       97       0.69     154.02   1.85    
A69      81       269      0.60     132.73   1.60    
A70      187      19       0.38     84.31    1.01    
A71      215      272      0.09     19.95    0.24    
A72      275      164      0.04     8.66     0.10    
A73      164      178      0.33     74.21    0.89    
A74      178      152      0.16     35.51    0.43    
A75      153      276      0.34     75.15    0.90    
A76      154      204      0.11     24.80    0.30    
A77      154      210      0.03     6.93     0.08    
A78      272      151      0.46     101.12   1.22    
A79      272      154      0.05     11.78    0.14    
A80      210      281      0.05     12.07    0.15    
A81      210      25       0.67     148.75   1.79    
A82      281      214      0.32     71.68    0.86    
A83      281      272      0.03     7.00     0.08    
A84      183      213      0.23     51.13    0.61    
A85      219      183      0.11     25.41    0.31    
A86      68       70       0.35     77.02    0.93    
A87      222      218      0.07     14.88    0.18    
A88      25       262      0.73     162.46   1.95    
A89      240      281      0.67     147.63   1.77    
A90      191      193      0.41     89.90    1.08    
A91      194      169      0.22     49.64    0.60    

ARC      FROM N.  TO N.    T. COST 
NrA1     4        3        15.21   
NrA2     3        8        19.97   
NrA3     8        1        333.87  
NrA4     2        9        103.38  
NrA5     10       13       159.46  
NrA6     14       12       56.31   
NrA7     21       8        34.95   
NrA8     21       7        23.68   
NrA9     13       77       57.10   
NrA10    98       21       131.55  
NrA11    7        5        13.80   
NrA12    111      113      83.65   
NrA13    136      137      19.38   
NrA14    136      131      13.86   
NrA15    138      139      0.28    
NrA16    161      137      30.93   
NrA17    145      136      4.36    
NrA18    137      230      23.07   
NrA19    137      232      40.03   
NrA20    137      233      22.55   
NrA21    232      15       36.92   
NrA22    233      15       26.30   
NrA23    15       17       14.25   
NrA24    17       13       14.49   
NrA25    139      128      17.24   
NrA26    139      232      27.48   
NrA27    77       112      140.22  
NrA28    77       139      13.99   
