Name:          PqSãoMatheus_PqGuarus
Optimal value:             
#Vehicles:     -1          
Capacity:      10000       
Depot Node:    1           
#Nodes:        281         
#Edges:        329         
#Arcs:         119         
#Required N:   0           
#Required E:   295         
#Required A:   91          

ReN.     DEMAND   S.COST  

ReE.     From N.  To N.    T. COST  DEMAND   S.COST  
E114     72       78       0.22     27.35    0.59    
E115     72       140      0.13     48.80    0.35    
E116     40       78       0.23     25.30    0.61    
E117     40       156      0.21     50.84    0.57    
E118     40       133      0.13     47.53    0.34    
E119     156      157      0.13     10.31    0.34    
E120     158      159      0.18     28.50    0.48    
E121     159      160      0.16     19.38    0.44    
E122     49       159      0.09     17.83    0.23    
E123     49       134      0.13     19.38    0.36    
E124     56       158      0.17     32.13    0.45    
E125     56       160      0.13     37.59    0.35    
E126     50       55       0.13     18.68    0.36    
E127     50       160      0.09     29.59    0.24    
E128     163      164      0.69     50.96    1.83    
E129     163      165      0.41     152.58   1.10    
E130     163      166      0.52     91.12    1.39    
E131     167      168      0.08     115.32   0.21    
E132     168      169      0.35     17.46    0.93    
E133     168      170      0.50     77.53    1.33    
E134     171      172      0.13     110.65   0.34    
E135     171      173      0.30     27.90    0.80    
E136     171      174      0.22     66.29    0.60    
E137     173      175      0.29     66.29    0.76    
E138     124      176      0.17     63.38    0.45    
E139     124      177      0.48     71.90    1.28    
E140     165      178      0.47     106.35   1.25    
E141     165      179      0.43     103.82   1.14    
E142     180      181      0.48     91.12    1.27    
E143     180      182      0.50     75.02    1.32    
E144     180      183      0.68     110.06   1.81    
E145     176      184      0.28     37.07    0.75    
E146     176      185      0.30     62.34    0.81    
E147     174      186      0.43     39.15    1.14    
E148     185      187      0.22     69.75    0.59    
E149     169      188      0.05     70.39    0.15    
E150     177      179      0.68     106.35   1.82    
E151     188      190      0.38     29.44    1.01    
E152     189      192      1.39     12.79    3.72    
E153     19       170      0.22     20.90    0.60    
E154     19       185      0.32     10.58    0.85    
E155     195      196      0.26     79.85    0.68    
E156     195      197      0.61     56.60    1.62    
E157     179      199      0.06     42.38    0.17    
E158     20       202      0.46     76.61    1.23    
E159     199      203      0.15     13.99    0.40    
E160     199      204      0.29     32.96    0.78    
E161     120      177      0.30     64.70    0.80    
E162     120      201      0.03     76.72    0.09    
E163     201      205      0.75     76.21    2.00    
E164     190      206      0.97     160.09   2.58    
E165     190      207      0.40     84.38    1.08    
E166     208      209      0.08     51.75    0.22    
E167     207      211      0.64     100.71   1.71    
E168     207      212      1.04     141.98   2.78    
E169     214      217      0.26     76.66    0.69    
E170     220      224      0.72     74.90    1.92    
E171     223      227      0.54     77.40    1.44    
E172     144      216      0.31     119.65   0.82    
E173     226      228      0.36     7.58     0.95    
E174     211      212      0.72     141.98   1.92    
E175     24       121      0.72     77.55    1.92    
E176     24       29       0.30     160.09   0.81    
E177     192      198      0.34     67.04    0.90    
E178     192      234      0.14     74.60    0.38    
E179     97       162      0.06     69.46    0.15    
E180     206      235      0.12     12.29    0.31    
E181     206      234      0.37     214.82   0.99    
E182     234      236      0.14     31.22    0.38    
E183     237      238      0.34     39.08    0.91    
E184     237      239      0.63     75.80    1.68    
E185     237      240      0.33     82.92    0.88    
E186     235      241      0.18     26.00    0.47    
E187     238      242      0.48     75.80    1.28    
E188     212      235      0.32     159.58   0.84    
E189     231      246      0.79     8.48     2.10    
E190     236      241      0.32     31.86    0.87    
E191     236      246      0.24     72.02    0.63    
E192     247      248      0.33     52.31    0.87    
E193     241      250      0.22     72.02    0.60    
E194     251      252      0.33     8.21     0.89    
E195     246      250      0.22     52.31    0.60    
E196     248      252      0.37     11.86    0.99    
E197     255      256      0.34     50.81    0.91    
E198     16       248      0.05     75.32    0.14    
E199     16       257      0.39     174.68   1.05    
E200     252      257      0.18     82.66    0.47    
E201     252      256      0.69     38.84    1.83    
E202     26       30       0.04     104.14   0.12    
E203     30       75       0.43     9.98     1.15    
E204     239      259      0.05     139.74   0.13    
E205     43       250      0.25     84.14    0.68    
E206     261      262      0.05     87.13    0.13    
E207     262      263      0.15     10.58    0.41    
E208     39       78       0.12     30.30    0.33    
E209     39       140      0.22     27.48    0.59    
E210     39       133      0.23     48.75    0.61    
E211     260      261      0.11     51.07    0.29    
E212     260      264      0.05     23.85    0.14    
E213     264      265      0.29     11.60    0.78    
E214     256      266      0.94     152.62   2.50    
E215     258      263      0.05     93.73    0.13    
E216     258      267      0.23     10.89    0.61    
E217     133      157      0.21     51.07    0.57    
E218     267      268      0.36     103.10   0.97    
E219     75       267      0.13     95.84    0.34    
E220     265      267      0.46     189.77   1.24    
E221     265      269      0.38     65.09    1.00    
E222     80       259      0.37     199.79   0.97    
E223     80       265      0.11     80.98    0.30    
E224     80       266      0.03     24.97    0.07    
E225     41       156      0.05     49.74    0.12    
E226     41       158      0.15     10.31    0.39    
E227     41       75       0.46     32.45    1.22    
E228     134      157      0.14     29.90    0.36    
E229     134      270      0.13     30.25    0.34    
E230     11       257      0.79     28.44    2.12    
E231     11       256      0.42     176.22   1.13    
E232     45       47       0.22     48.08    0.59    
E233     45       271      0.13     48.80    0.35    
E234     268      269      0.04     29.43    0.11    
E235     6        9        0.28     83.43    0.76    
E236     6        266      0.74     63.12    1.98    
E237     125      185      0.31     9.37     0.84    
E238     125      170      0.45     29.52    1.20    
E239     5        82       0.67     16.05    1.78    
E240     82       99       0.25     147.70   0.65    
E241     99       162      0.23     54.47    0.61    
E242     135      270      0.21     27.63    0.57    
E243     46       135      0.12     30.06    0.33    
E244     46       271      0.22     27.63    0.58    
E245     270      271      0.13     47.66    0.36    
E246     51       270      0.22     29.38    0.58    
E247     51       53       0.13     48.10    0.34    
E248     51       58       0.22     28.41    0.57    
E249     53       271      0.22     29.86    0.58    
E250     53       62       0.21     28.41    0.57    
E251     58       62       0.13     47.79    0.36    
E252     181      213      0.14     105.92   0.38    
E253     181      215      0.27     31.61    0.71    
E254     118      273      0.54     104.50   1.45    
E255     118      166      0.36     120.87   0.96    
E256     273      274      0.12     120.87   0.31    
E257     166      274      0.61     170.77   1.63    
E258     274      275      0.50     25.63    1.35    
E259     182      276      0.02     112.01   0.06    
E260     182      273      0.77     5.39     2.05    
E261     164      276      0.04     74.21    0.12    
E262     172      173      0.25     27.90    0.67    
E263     172      174      0.18     55.45    0.47    
E264     172      195      0.26     39.15    0.69    
E265     153      180      0.34     10.92    0.90    
E266     153      178      0.05     75.15    0.13    
E267     175      195      0.36     10.92    0.96    
E268     186      197      0.26     56.75    0.68    
E269     148      208      0.23     41.28    0.62    
E270     148      175      0.26     51.75    0.70    
E271     148      196      0.36     58.45    0.97    
E272     102      186      0.26     55.78    0.68    
E273     102      110      0.26     56.75    0.70    
E274     102      277      0.25     57.88    0.68    
E275     110      279      0.27     57.88    0.71    
E276     196      216      0.25     56.60    0.66    
E277     196      280      0.61     80.51    1.63    
E278     197      277      0.26     56.59    0.68    
E279     197      280      0.26     56.88    0.69    
E280     115      278      0.09     13.38    0.24    
E281     115      222      0.35     19.72    0.93    
E282     209      216      0.28     18.64    0.76    
E283     277      279      0.19     56.88    0.50    
E284     116      208      0.05     102.36   0.13    
E285     116      225      0.35     10.88    0.92    
E286     116      209      0.10     76.82    0.27    
E287     129      280      0.36     57.25    0.96    
E288     130      216      0.61     27.65    1.62    
E289     130      280      0.25     134.69   0.66    
E290     217      237      0.37     57.63    1.00    
E291     69       238      0.37     31.09    0.99    
E292     69       217      0.34     82.05    0.91    
E293     25       240      0.04     162.46   0.11    
E294     113      279      0.14     9.31     0.39    
E295     113      129      0.12     32.09    0.33    

EDGE     From N.  To N.    T. COST 
NrE1     1        2        18.10   
NrE2     1        3        343.49  
NrE3     3        7        18.50   
NrE4     2        10       467.59  
NrE5     10       12       95.05   
NrE6     12       17       58.71   
NrE7     18       19       31.40   
NrE8     98       99       412.42  
NrE9     7        98       140.11  
NrE10    111      112      112.01  
NrE11    111      114      3544.90 
NrE12    119      121      11.57   
NrE13    141      142      11.55   
NrE14    132      143      11.95   
NrE15    151      152      16.95   
NrE16    19       193      15.89   
NrE17    20       200      10.90   
NrE18    23       203      10.11   
NrE19    207      211      151.31  
NrE20    213      214      11.90   
NrE21    70       218      11.36   
NrE22    220      221      11.66   
NrE23    223      225      11.48   
NrE24    144      226      11.40   
NrE25    112      138      138.61  
NrE26    198      229      13.57   
NrE27    17       138      60.74   
NrE28    243      245      13.80   
NrE29    231      244      12.74   
NrE30    249      251      12.33   
NrE31    253      254      13.85   
NrE32    74       81       14.08   
NrE33    68       219      11.80   
NrE34    191      194      13.01   

ReA.     FROM N.  TO N.    T. COST  DEMAND   S.COST  
A1       18       20       0.55     20.90    1.47    
A2       27       30       0.49     9.36     1.31    
A3       119      120      0.34     104.50   0.91    
A4       131      132      0.14     62.29    0.38    
A5       141      143      0.20     7.69     0.54    
A6       142      144      0.24     7.69     0.65    
A7       132      142      0.20     54.22    0.53    
A8       143      145      0.12     7.95     0.33    
A9       151      153      0.16     11.28    0.43    
A10      152      154      0.46     11.28    1.21    
A11      128      161      0.06     26.39    0.17    
A12      162      81       0.68     12.29    1.82    
A13      188      189      0.13     12.18    0.35    
A14      189      191      0.06     84.38    0.15    
A15      19       194      0.37     70.39    1.00    
A16      193      18       0.05     134.93   0.15    
A17      193      198      1.17     10.58    3.12    
A18      184      187      0.19     62.34    0.51    
A19      200      184      0.07     151.75   0.18    
A20      20       201      0.35     7.26     0.92    
A21      120      200      0.35     66.39    0.92    
A22      201      121      0.34     7.47     0.92    
A23      121      23       0.34     7.70     0.90    
A24      203      119      0.34     89.57    0.91    
A25      23       210      0.35     6.73     0.94    
A26      204      203      0.24     64.70    0.64    
A27      213      215      0.23     31.61    0.63    
A28      214      68       0.35     7.92     0.92    
A29      218      219      0.35     7.56     0.93    
A30      202      18       0.76     77.38    2.03    
A31      70       220      0.34     7.56     0.91    
A32      221      222      0.28     7.76     0.74    
A33      220      223      0.34     7.76     0.90    
A34      225      221      0.33     160.08   0.89    
A35      223      226      0.35     7.64     0.93    
A36      144      225      0.35     68.37    0.93    
A37      226      141      0.24     7.58     0.64    
A38      161      131      0.13     92.26    0.35    
A39      229      202      0.38     20.58    1.00    
A40      145      230      0.05     2.90     0.12    
A41      198      231      0.37     74.60    0.98    
A42      230      228      0.64     15.01    1.72    
A43      205      229      0.09     166.02   0.24    
A44      228      243      0.10     79.35    0.28    
A45      244      205      0.27     23.01    0.71    
A46      243      227      0.27     9.19     0.71    
A47      231      27       0.19     58.80    0.50    
A48      247      233      0.71     72.62    1.89    
A49      245      247      0.07     9.19     0.18    
A50      227      249      0.05     119.65   0.12    
A51      249      224      0.34     8.21     0.90    
A52      29       244      0.18     9.36     0.48    
A53      251      245      0.31     67.04    0.83    
A54      224      253      0.07     73.77    0.18    
A55      253      71       0.31     9.22     0.83    
A56      254      251      0.40     49.84    1.07    
A57      71       242      0.37     178.38   0.99    
A58      255      254      0.23     82.66    0.61    
A59      242      239      0.38     106.91   1.02    
A60      26       29       0.47     152.62   1.25    
A61      30       258      0.24     95.84    0.63    
A62      239      260      0.24     11.10    0.64    
A63      259      255      0.86     64.95    2.29    
A64      261      240      0.73     23.85    1.94    
A65      264      259      0.19     11.60    0.50    
A66      263      26       0.27     10.89    0.72    
A67      268      74       0.60     80.62    1.60    
A68      74       97       0.69     75.34    1.85    
A69      81       269      0.60     73.42    1.60    
A70      187      19       0.38     48.72    1.01    
A71      215      272      0.09     58.84    0.24    
A72      275      164      0.04     112.01   0.10    
A73      164      178      0.33     152.58   0.89    
A74      178      152      0.16     57.22    0.43    
A75      153      276      0.34     75.02    0.90    
A76      154      204      0.11     22.39    0.30    
A77      154      210      0.03     24.80    0.08    
A78      272      151      0.46     6.93     1.22    
A79      272      154      0.05     101.12   0.14    
A80      210      281      0.05     11.78    0.15    
A81      210      25       0.67     12.07    1.79    
A82      281      214      0.32     148.75   0.86    
A83      281      272      0.03     71.68    0.08    
A84      183      213      0.23     32.09    0.61    
A85      219      183      0.11     54.53    0.31    
A86      68       70       0.35     21.58    0.93    
A87      222      218      0.07     7.86     0.18    
A88      25       262      0.73     74.24    1.95    
A89      240      281      0.67     73.36    1.77    
A90      191      193      0.41     9.40     1.08    
A91      194      169      0.22     8.66     0.60    

ARC      FROM N.  TO N.    T. COST 
NrA1     4        3        15.21   
NrA2     3        8        19.97   
NrA3     8        1        333.87  
NrA4     2        9        103.38  
NrA5     10       13       159.46  
NrA6     14       12       56.31   
NrA7     21       8        34.95   
NrA8     21       7        23.68   
NrA9     13       77       57.10   
NrA10    98       21       131.55  
NrA11    7        5        13.80   
NrA12    111      113      83.65   
NrA13    136      137      19.38   
NrA14    136      131      13.86   
NrA15    138      139      0.28    
NrA16    161      137      30.93   
NrA17    145      136      4.36    
NrA18    137      230      23.07   
NrA19    137      232      40.03   
NrA20    137      233      22.55   
NrA21    232      15       36.92   
NrA22    233      15       26.30   
NrA23    15       17       14.25   
NrA24    17       13       14.49   
NrA25    139      128      17.24   
NrA26    139      232      27.48   
NrA27    77       112      140.22  
NrA28    77       139      13.99   
