Name:          Centro_Campos_v2
Optimal value:             
#Vehicles:     -1          
Capacity:      10000       
Depot Node:    105           
#Nodes:        257         
#Edges:        51          
#Arcs:         372         
#Required N:   3           
#Required E:   49          
#Required A:   339         

ReN.     DEMAND   S.COST  
N109     580      6
N253     650      5
N195     729      5

ReE.     From N.  To N.    T. COST  DEMAND   S.COST  
A232     232      42       0.46     127.45   1.23    
A233     176      52       0.19     50.12    0.50    
A234     84       41       0.24     41.63    0.64    
A235     84       176      1.40     53.57    3.74    
A236     227      200      0.21     311.41   0.57    
A237     98       129      0.31     47.37    0.82    
A238     75       163      0.38     68.01    1.00    
A239     75       198      0.17     83.58    0.46    
A240     140      174      0.44     38.15    1.18    
A241     140      175      0.31     36.01    0.82    
A242     7        219      0.33     67.82    0.89    
A243     78       237      0.56     55.44    1.49    
A244     233      76       0.29     124.14   0.78    
A245     233      78       0.38     65.06    1.01    
A246     21       211      0.62     84.05    1.65    
A247     21       194      0.36     137.65   0.96    
A248     238      144      0.24     79.55    0.65    
A249     238      189      0.73     5.12     1.94    
A250     45       157      0.32     161.42   0.85    
A251     45       239      0.37     70.52    0.98    
A252     240      116      0.15     81.34    0.39    
A253     5        6        0.30     32.31    0.79    
A254     5        188      1.01     65.92    2.68    
A255     130      107      0.33     14.37    0.89    
A256     130      59       0.19     74.08    0.51    
A257     132      240      0.03     42.16    0.08    
A258     202      221      0.11     17.41    0.29    
A259     202      227      0.11     23.99    0.28    
A260     242      225      0.48     23.64    1.27    
A261     242      234      0.69     105.95   1.84    
A262     217      8        0.33     153.34   0.88    
A263     229      109      0.49     111.48   1.31    
A264     229      243      0.12     108.83   0.33    
A265     32       39       0.21     141.99   0.56    
A266     32       84       0.52     46.69    1.39    
A267     12       15       0.35     116.02   0.92    
A268     60       130      0.21     141.99   0.55    
A269     60       132      0.14     46.16    0.37    
A270     109      228      0.73     30.40    1.94    
A271     244      229      0.54     161.47   1.45    
A272     244      245      0.14     120.31   0.38    
A273     246      87       0.16     31.93    0.42    
A274     149      159      0.46     106.54   1.22    
A275     149      158      0.10     101.56   0.26    
A276     247      214      0.30     21.35    0.80    
A277     247      215      0.79     66.31    2.10    
A278     248      22       0.26     174.52   0.69    
A279     17       234      0.42     70.63    1.13    
A280     243      86       0.13     76.93    0.34    
A281     243      245      0.50     27.99    1.33    
A282     249      251      0.28     85.85    0.74    
A283     66       246      0.13     61.46    0.35    
A284     66       252      0.48     29.38    1.27    
A285     208      3        0.30     105.53   0.80    
A286     208      2        0.33     66.25    0.88    
A287     88       252      0.14     106.54   0.38    
A288     230      231      0.09     31.22    0.25    
A289     230      253      0.16     20.91    0.44    
A290     230      223      0.51     36.24    1.36    
A291     222      4        0.32     112.83   0.84    
A292     235      254      0.16     90.78    0.42    
A293     245      236      0.10     35.25    0.28    
A294     250      242      0.25     23.22    0.66    
A295     252      138      0.30     85.85    0.81    
A296     252      255      0.41     67.36    1.10    
A297     20       256      0.83     58.99    2.21    
A298     194      46       0.43     183.93   1.15    
A299     194      32       0.46     95.68    1.22    
A300     200      49       0.11     101.10   0.30    
A301     53       209      0.38     139.67   1.00    
A302     53       220      0.23     83.32    0.63    
A303     254      231      0.19     52.02    0.49    
A304     254      230      0.19     41.16    0.52    
A305     254      253      0.17     42.91    0.47    
A306     168      209      0.18     23.95    0.47    
A307     168      220      0.36     39.25    0.96    
A308     175      247      0.15     79.80    0.41    
A309     175      218      0.04     34.32    0.12    
A310     64       205      0.37     9.90     0.99    
A311     253      244      0.32     73.91    0.85    
A312     204      93       0.10     70.41    0.28    
A313     204      131      0.20     23.03    0.52    
A314     81       237      0.55     82.27    1.47    
A315     213      223      0.51     122.16   1.37    
A316     213      257      0.49     113.93   1.31    
A317     57       179      0.25     108.84   0.67    
A318     57       85       0.54     55.86    1.45    
A319     195      250      0.28     120.70   0.74    
A320     195      251      0.40     61.98    1.06    
A321     237      172      0.39     88.04    1.04    
A322     237      57       0.82     86.60    2.20    
A323     255      256      0.20     182.84   0.53    
A324     251      43       0.20     44.13    0.52    
A325     251      239      0.56     43.61    1.50    
A326     239      212      0.49     124.88   1.32    
A327     239      54       0.66     109.56   1.76    
A328     2        173      0.21     146.59   0.56    
A329     68       242      0.37     14.06    0.98    
A330     68       249      0.25     81.27    0.66    
A331     22       196      0.23     54.58    0.62    
A332     256      138      0.38     51.81    1.01    
A333     256      68       0.11     83.77    0.28    
A334     159      44       0.62     23.39    1.64    
A335     236      86       0.47     136.46   1.27    
A336     236      255      0.38     105.33   1.02    
A337     54       232      0.57     19.72    1.51    
A338     54       233      0.22     126.02   0.59    
A339     3        70       0.14     57.54    0.37    

ARC      FROM N.  TO N.    T. COST 
NrA1     18       19       31.09   
NrA2     37       38       177.50  
NrA3     89       91       32.85   
NrA4     38       62       9.01    
NrA5     38       92       237.89  
NrA6     104      105      313.96  
NrA7     104      106      11.63   
NrA8     129      130      41.17   
NrA9     92       104      99.21   
NrA10    166      37       51.21   
NrA11    166      167      26.35   
NrA12    110      148      11.21   
NrA13    165      92       12.24   
NrA14    192      200      38.53   
NrA15    201      167      7.55    
NrA16    206      207      54.12   
NrA17    206      118      19.37   
NrA18    210      206      144.80  
NrA19    123      203      60.05   
NrA20    215      91       34.80   
NrA21    91       218      317.62  
NrA22    167      221      8.63    
NrA23    167      37       28.84   
NrA24    221      227      22.65   
NrA25    207      241      25.51   
NrA26    207      240      21.58   
NrA27    132      241      26.16   
NrA28    241      61       64.38   
NrA29    218      210      209.85  
NrA30    2        210      21.13   
NrA31    61       166      183.45  
NrA32    199      201      25.88   
NrA33    199      180      29.63   
