Name:          Centro_Campos
Optimal value:             
#Vehicles:     -1          
Capacity:      10000       
Depot Node:    1           
#Nodes:        301         
#Edges:        67          
#Arcs:         432         
#Required N:   4           
#Required E:   64          
#Required A:   392         

ReN.     DEMAND   S.COST  
N220     580      6
N184     970      8
N286     650      5
N124     729      5

ReE.     From N.  To N.    T. COST  DEMAND   S.COST  
A133     26       87       0.13     29.03    0.35    
A134     26       139      0.25     55.73    0.67    
A135     167      124      0.55     122.60   1.47    
A136     168      169      0.26     57.72    0.69    
A137     170      136      1.05     233.45   2.81    
A138     172      147      0.11     24.77    0.30    
A139     173      174      0.34     75.45    0.91    
A140     125      175      0.34     74.97    0.90    
A141     177      83       0.09     20.06    0.24    
A142     85       179      0.32     71.61    0.86    
A143     85       180      0.59     131.43   1.58    
A144     165      94       0.36     79.80    0.96    
A145     183      184      0.85     188.25   2.26    
A146     183      185      0.26     57.12    0.69    
A147     186      20       0.41     91.21    1.10    
A148     186      85       0.50     109.85   1.32    
A149     187      48       0.22     49.70    0.60    
A150     189      190      0.12     26.42    0.32    
A151     189      191      0.19     41.97    0.50    
A152     19       192      0.33     72.18    0.87    
A153     19       186      0.25     55.52    0.67    
A154     193      194      0.48     106.56   1.28    
A155     193      195      0.19     42.81    0.51    
A156     196      162      0.07     16.35    0.20    
A157     113      162      0.77     170.99   2.06    
A158     113      184      0.50     110.18   1.32    
A159     180      43       0.36     80.25    0.96    
A160     198      166      0.21     46.41    0.56    
A161     198      199      0.62     137.50   1.65    
A162     121      200      0.18     40.92    0.49    
A163     109      157      0.28     61.43    0.74    
A164     109      202      0.69     152.60   1.83    
A165     203      83       0.10     23.14    0.28    
A166     114      204      0.25     54.52    0.66    
A167     114      205      0.49     108.01   1.30    
A168     69       59       0.42     92.82    1.12    
A169     69       81       0.14     32.09    0.39    
A170     98       206      0.14     30.37    0.36    
A171     98       207      0.35     78.42    0.94    
A172     208      189      0.16     35.62    0.43    
A173     201      120      0.43     95.08    1.14    
A174     210      57       0.12     26.60    0.32    
A175     211      212      0.05     11.19    0.13    
A176     213      210      0.16     36.57    0.44    
A177     213      214      0.25     55.52    0.67    
A178     215      216      0.16     35.48    0.43    
A179     218      219      0.02     5.43     0.07    
A180     194      220      0.26     58.33    0.70    
A181     5        222      0.08     18.03    0.22    
A182     224      211      0.21     47.51    0.57    
A183     214      224      0.10     21.98    0.26    
A184     138      212      0.20     45.47    0.55    
A185     191      226      0.02     4.41     0.05    
A186     221      119      0.73     161.66   1.94    
A187     221      153      0.20     43.77    0.53    
A188     56       224      0.15     32.20    0.39    
A189     227      151      0.03     5.97     0.07    
A190     188      144      0.04     8.90     0.11    
A191     230      216      0.22     48.88    0.59    
A192     230      209      0.05     11.09    0.13    
A193     116      100      0.32     71.61    0.86    
A194     209      172      0.20     43.48    0.52    
A195     205      197      0.26     57.43    0.69    
A196     207      213      0.17     38.56    0.46    
A197     206      191      0.11     25.00    0.30    
A198     206      190      0.19     41.42    0.50    
A199     75       95       0.21     47.51    0.57    
A200     231      4        0.05     12.09    0.15    
A201     233      232      0.02     4.38     0.05    
A202     216      213      0.12     26.98    0.32    
A203     219      214      0.19     42.60    0.51    
A204     219      211      0.12     27.36    0.33    
A205     190      215      0.18     39.13    0.47    
A206     226      117      0.25     56.34    0.68    
A207     226      75       0.24     53.91    0.65    
A208     232      235      0.17     37.63    0.45    
A209     236      180      0.33     73.42    0.88    
A210     204      237      0.71     156.49   1.88    
A211     204      238      0.35     77.39    0.93    
A212     202      239      0.15     32.57    0.39    
A213     202      67       0.41     90.53    1.09    
A214     202      100      0.38     83.92    1.01    
A215     130      230      0.32     70.80    0.85    
A216     240      241      1.01     224.98   2.70    
A217     60       242      0.21     46.89    0.56    
A218     60       243      0.56     124.87   1.50    
A219     244      245      0.35     77.80    0.94    
A220     244      246      0.29     64.96    0.78    
A221     105      181      0.14     30.33    0.36    
A222     242      247      0.37     82.36    0.99    
A223     242      29       0.46     102.05   1.23    
A224     248      249      0.28     63.15    0.76    
A225     248      168      0.49     108.04   1.30    
A226     64       78       0.19     41.63    0.50    
A227     175      28       0.24     53.57    0.64    
A228     175      247      0.47     104.70   1.26    
A229     250      251      0.07     14.99    0.18    
A230     156      202      0.13     28.81    0.35    
A231     156      239      0.05     12.04    0.14    
A232     239      66       0.11     24.26    0.29    
A233     229      143      0.21     47.37    0.57    
A234     212      233      0.31     68.01    0.82    
A235     139      134      0.17     38.15    0.46    
A236     139      41       0.38     83.58    1.00    
A237     171      62       0.31     67.82    0.82    
A238     171      63       0.44     98.30    1.18    
A239     254      186      0.33     73.85    0.89    
A240     158      77       0.56     124.14   1.49    
A241     243      158      0.38     84.05    1.01    
A242     243      155      0.29     65.06    0.78    
A243     131      166      0.62     137.65   1.65    
A244     131      123      0.36     79.55    0.96    
A245     257      126      0.44     98.71    1.19    
A246     258      132      0.24     54.32    0.65    
A247     258      110      0.73     161.42   1.94    
A248     38       259      0.37     81.34    0.98    
A249     38       31       0.32     70.52    0.85    
A250     256      174      0.47     103.39   1.24    
A251     104      260      0.30     65.92    0.79    
A252     104      261      0.50     110.44   1.33    
A253     234      218      0.33     74.08    0.89    
A254     234      98       0.19     42.16    0.51    
A255     235      227      0.18     40.98    0.49    
A256     9        171      0.21     45.88    0.55    
A257     9        86       0.45     99.79    1.20    
A258     137      9        1.19     263.91   3.17    
A259     137      8        0.29     64.89    0.78    
A260     145      188      0.11     23.99    0.29    
A261     145      229      0.11     23.64    0.28    
A262     262      198      0.48     105.95   1.27    
A263     262      244      0.69     153.34   1.84    
A264     263      79       0.21     46.98    0.56    
A265     263      64       0.35     77.27    0.93    
A266     179      264      0.34     74.40    0.89    
A267     238      265      0.12     27.44    0.33    
A268     238      220      0.49     108.83   1.31    
A269     157      264      0.53     117.49   1.41    
A270     157      236      0.36     78.92    0.95    
A271     54       173      0.39     87.35    1.05    
A272     54       255      0.50     110.00   1.32    
A273     17       175      0.52     116.02   1.39    
A274     17       25       0.21     46.69    0.56    
A275     267      140      0.35     76.93    0.92    
A276     97       235      0.13     27.87    0.33    
A277     97       234      0.21     46.16    0.55    
A278     261      92       0.37     82.30    0.99    
A279     261      109      0.52     115.67   1.39    
A280     247      167      0.20     45.09    0.54    
A281     247      263      0.58     129.49   1.56    
A282     268      183      0.24     52.30    0.63    
A283     270      271      0.14     31.93    0.38    
A284     270      238      0.54     120.31   1.45    
A285     220      273      0.24     53.33    0.64    
A286     274      170      0.30     66.31    0.80    
A287     274      177      0.79     174.52   2.10    
A288     275      194      0.16     35.31    0.42    
A289     276      33       0.46     101.56   1.22    
A290     276      32       0.10     21.35    0.26    
A291     277      49       0.94     208.03   2.50    
A292     160      277      0.42     92.40    1.11    
A293     222      251      0.32     71.20    0.86    
A294     222      278      0.26     57.28    0.69    
A295     185      196      0.24     52.66    0.63    
A296     266      244      0.42     93.68    1.13    
A297     127      280      0.48     105.53   1.27    
A298     127      275      0.13     29.38    0.35    
A299     265      193      0.13     27.99    0.34    
A300     265      271      0.50     110.91   1.33    
A301     272      268      0.48     106.10   1.28    
A302     197      272      0.24     52.59    0.63    
A303     281      282      0.28     61.46    0.74    
A304     154      2        0.30     66.25    0.80    
A305     154      3        0.33     73.36    0.88    
A306     195      280      0.14     31.22    0.38    
A307     192      284      0.32     69.97    0.84    
A308     169      113      0.51     113.93   1.37    
A309     169      285      0.49     108.84   1.31    
A310     237      286      0.16     36.24    0.44    
A311     237      240      0.09     20.91    0.25    
A312     237      112      0.25     55.89    0.67    
A313     285      248      0.26     57.12    0.69    
A314     245      287      0.16     35.25    0.42    
A315     82       70       0.25     55.86    0.67    
A316     82       71       0.54     120.70   1.45    
A317     77       60       0.39     86.60    1.04    
A318     77       82       0.82     182.84   2.20    
A319     282      259      0.56     124.88   1.50    
A320     282      37       0.20     43.61    0.52    
A321     259      263      0.45     99.68    1.20    
A322     259      167      0.49     109.56   1.32    
A323     271      246      0.10     23.22    0.28    
A324     283      262      0.25     55.26    0.66    
A325     129      262      0.37     81.27    0.98    
A326     129      281      0.25     54.58    0.66    
A327     288      129      0.11     23.39    0.28    
A328     288      257      0.38     83.77    1.01    
A329     200      152      0.63     140.68   1.69    
A330     280      257      0.30     67.36    0.81    
A331     280      289      0.41     91.74    1.10    
A332     290      201      0.09     18.99    0.23    
A333     33       39       0.62     136.46   1.64    
A334     246      193      0.47     105.33   1.27    
A335     246      289      0.38     84.63    1.02    
A336     291      288      0.83     183.93   2.21    
A337     123      55       0.43     95.68    1.15    
A338     123      17       0.46     101.10   1.22    
A339     143      65       0.11     25.08    0.30    
A340     293      277      0.21     47.16    0.57    
A341     174      89       0.31     68.69    0.83    
A342     174      293      1.24     275.26   3.31    
A343     80       159      0.38     83.32    1.00    
A344     80       187      0.23     52.02    0.63    
A345     284      294      0.30     66.47    0.80    
A346     84       203      1.72     380.95   4.58    
A347     260      284      0.25     56.15    0.67    
A348     260      254      0.32     71.29    0.86    
A349     264      261      0.29     65.01    0.78    
A350     264      260      0.50     110.48   1.33    
A351     62       182      0.04     9.90     0.12    
A352     62       274      0.15     34.32    0.41    
A353     241      267      0.34     75.74    0.91    
A354     241      164      0.39     87.20    1.05    
A355     287      237      0.19     42.91    0.52    
A356     287      240      0.19     41.16    0.49    
A357     287      286      0.17     38.76    0.47    
A358     140      250      0.54     120.71   1.45    
A359     140      266      0.64     142.85   1.72    
A360     251      295      0.20     44.78    0.54    
A361     199      278      0.31     68.28    0.82    
A362     199      131      0.25     55.56    0.67    
A363     49       187      0.36     79.80    0.96    
A364     49       159      0.18     39.25    0.47    
A365     184      285      0.44     97.22    1.17    
A366     273      205      0.24     53.46    0.64    
A367     273      204      0.49     108.14   1.30    
A368     249      163      0.49     109.58   1.32    
A369     249      165      0.40     87.99    1.06    
A370     107      148      0.37     82.71    0.99    
A371     294      104      0.26     56.79    0.68    
A372     294      105      0.37     81.00    0.97    
A373     286      270      0.32     70.41    0.85    
A374     163      241      0.51     113.38   1.36    
A375     163      168      0.28     62.29    0.75    
A376     147      117      0.20     43.50    0.52    
A377     147      208      0.10     23.03    0.28    
A378     91       73       0.26     56.61    0.68    
A379     132      42       0.68     150.55   1.81    
A380     124      282      0.40     88.04    1.06    
A381     124      283      0.28     61.98    0.74    
A382     289      288      0.20     44.13    0.53    
A383     301      290      0.62     137.81   1.66    
A384     295      291      0.42     93.79    1.13    
A385     3        61       0.21     46.18    0.56    
A386     278      130      0.23     51.81    0.62    
A387     153      221      1.77     392.27   4.71    
A388     79       243      0.22     48.79    0.59    
A389     79       242      0.57     126.02   1.51    
A390     48       78       0.31     68.72    0.83    
A391     48       276      0.32     70.36    0.85    
A392     2        135      0.14     31.12    0.37    

ARC      FROM N.  TO N.    T. COST 
NrA1     23       24       177.50  
NrA2     34       35       99.21   
NrA3     45       23       51.21   
NrA4     45       46       26.35   
NrA5     47       48       11.21   
NrA6     119      120      37.16   
NrA7     126      119      14.69   
NrA8     128      126      36.10   
NrA9     120      128      15.09   
NrA10    43       34       12.24   
NrA11    118      143      38.53   
NrA12    144      46       7.55    
NrA13    149      150      79.62   
NrA14    149      151      19.37   
NrA15    161      149      144.80  
NrA16    150      96       64.38   
NrA17    172      146      60.05   
NrA18    177      178      34.80   
NrA19    178      182      317.62  
NrA20    46       188      8.63    
NrA21    46       23       28.84   
NrA22    121      201      84.83   
NrA23    203      178      32.85   
NrA24    24       34       237.89  
NrA25    24       106      9.01    
NrA26    35       42       11.63   
NrA27    35       217      313.96  
NrA28    194      221      14.28   
NrA29    188      229      22.65   
NrA30    233      234      41.17   
NrA31    235      150      19.82   
NrA32    290      200      15.48   
NrA33    96       45       183.45  
NrA34    142      144      25.88   
NrA35    142      74       29.63   
NrA36    182      161      209.85  
NrA37    251      199      30.55   
NrA38    301      152      16.09   
NrA39    3        161      19.66   
NrA40    153      301      34.21   
