Name:          Centro_Campos
Optimal value: 2400            
#Vehicles:     -1          
Capacity:      10000       
Depot Node:    94           
#Nodes:        301         
#Edges:        67          
#Arcs:         432         
#Required N:   4           
#Required E:   64          
#Required A:   392         

ReN.     DEMAND   S.COST  
N99      580      6
N252     970      8
N291     650      5
N220     729      5

ReE.     From N.  To N.    T. COST  DEMAND   S.COST  
A47      88       85       0.16     36.57    0.44    
A48      88       89       0.25     55.51    0.67    
A49      90       92       0.16     35.48    0.43    
A50      96       97       0.02     5.43     0.07    
A51      70       99       0.26     58.33    0.70    
A52      5        101      0.08     18.03    0.22    
A53      102      86       0.21     47.51    0.57    
A54      89       102      0.10     21.98    0.26    
A55      56       87       0.20     45.47    0.55    
A56      104      105      0.02     4.41     0.05    
A57      98       43       0.73     161.66   1.94    
A58      98       106      0.20     43.77    0.53    
A59      25       102      0.15     32.20    0.39    
A60      107      109      0.03     5.97     0.07    
A61      110      83       0.05     11.09    0.13    
A62      110      92       0.22     48.88    0.59    
A63      111      112      0.32     71.61    0.86    
A64      83       114      0.20     43.48    0.52    
A65      115      116      0.26     57.43    0.69    
A66      91       88       0.17     38.56    0.46    
A67      118      104      0.11     25.00    0.30    
A68      118      119      0.19     41.42    0.50    
A69      120      36       0.21     47.51    0.57    
A70      113      4        0.05     12.09    0.15    
A71      122      117      0.02     4.38     0.05    
A72      92       88       0.12     26.98    0.32    
A73      97       89       0.19     42.60    0.51    
A74      97       86       0.12     27.36    0.33    
A75      119      90       0.18     39.13    0.47    
A76      105      120      0.24     53.91    0.65    
A77      105      124      0.25     56.34    0.68    
A78      117      125      0.17     37.63    0.45    
A79      126      127      0.07     14.99    0.18    
A80      128      129      0.13     28.81    0.35    
A81      128      130      0.05     12.04    0.14    
A82      130      29       0.11     24.26    0.29    
A83      133      134      0.36     78.92    0.95    
A84      133      135      0.53     117.49   1.41    
A85      139      46       0.44     98.71    1.19    
A86      138      63       0.47     103.39   1.24    
A87      7        140      0.45     99.79    1.20    
A88      7        141      0.21     45.88    0.55    
A89      54       7        1.19     263.91   3.17    
A90      54       142      0.29     64.89    0.78    
A91      143      61       0.39     87.35    1.05    
A92      143      136      0.50     110.00   1.32    
A93      73       144      0.63     140.68   1.69    
A94      145      74       0.09     18.99    0.23    
A95      146      147      0.20     45.09    0.54    
A96      146      148      0.58     129.49   1.56    
A97      55       75       1.72     380.95   4.58    
A98      149      150      0.28     62.29    0.75    
A99      149      151      0.51     113.38   1.36    
A100     152      95       0.68     150.55   1.81    
A101     157      158      0.42     93.79    1.13    
A102     159      30       0.31     68.72    0.83    
A103     159      160      0.32     70.36    0.85    
A104     14       6        0.15     34.21    0.41    
A105     14       142      1.15     255.83   3.07    
A106     161      162      0.37     82.30    0.99    
A107     161      163      0.52     115.67   1.39    
A108     142      137      0.53     118.43   1.42    
A109     142      164      0.39     86.23    1.04    
A110     165      167      0.51     113.71   1.37    
A111     16       168      0.08     16.79    0.20    
A112     8        169      0.15     33.50    0.40    
A113     8        170      0.19     41.81    0.50    
A114     171      173      0.08     18.12    0.22    
A115     166      174      0.13     28.47    0.34    
A116     175      169      0.17     38.40    0.46    
A117     175      170      0.15     32.45    0.39    
A118     169      9        0.16     35.45    0.43    
A119     169      14       0.47     104.44   1.26    
A120     176      175      0.32     71.63    0.86    
A121     176      177      0.14     31.76    0.38    
A122     95       178      0.50     111.36   1.34    
A123     95       179      0.33     73.75    0.89    
A124     50       182      0.59     130.94   1.57    
A125     183      59       0.14     31.68    0.38    
A126     164      143      0.25     56.04    0.67    
A127     164      185      0.56     123.24   1.48    
A128     172      186      0.16     35.95    0.43    
A129     187      188      0.46     101.93   1.23    
A130     189      190      0.32     70.29    0.84    
A131     189      191      0.41     91.99    1.11    
A132     186      23       0.47     103.88   1.25    
A133     193      194      0.07     16.53    0.20    
A134     185      195      0.55     122.15   1.47    
A135     198      120      0.26     56.86    0.68    
A136     11       176      0.16     34.54    0.42    
A137     11       193      0.25     55.62    0.67    
A138     195      10       0.17     38.49    0.46    
A139     195      34       0.26     57.67    0.69    
A140     20       187      0.21     46.85    0.56    
A141     20       168      0.45     100.63   1.21    
A142     196      199      0.30     65.55    0.79    
A143     76       55       0.51     113.33   1.36    
A144     178      200      0.18     40.09    0.48    
A145     140      8        0.13     27.99    0.34    
A146     140      201      0.20     44.20    0.53    
A147     190      51       0.22     48.51    0.58    
A148     190      140      0.22     47.95    0.58    
A149     202      68       0.12     27.20    0.33    
A150     162      204      0.50     110.02   1.32    
A151     162      205      0.38     83.61    1.00    
A152     174      206      0.24     53.89    0.65    
A153     112      207      0.70     155.12   1.86    
A154     112      208      0.38     84.21    1.01    
A155     67       143      0.53     117.53   1.41    
A156     204      209      0.25     54.48    0.65    
A157     204      210      0.38     84.72    1.02    
A158     177      12       0.25     55.93    0.67    
A159     177      16       0.26     58.73    0.71    
A160     207      162      0.51     112.63   1.35    
A161     207      163      0.36     80.13    0.96    
A162     211      165      0.03     7.43     0.09    
A163     213      214      0.26     56.94    0.68    
A164     213      215      0.73     161.76   1.94    
A165     216      4        0.15     33.66    0.40    
A166     216      111      0.05     10.41    0.13    
A167     124      27       0.09     19.59    0.24    
A168     124      217      0.11     24.02    0.29    
A169     218      64       0.22     47.98    0.58    
A170     218      219      0.63     140.01   1.68    
A171     218      220      0.47     105.09   1.26    
A172     212      167      0.39     86.42    1.04    
A173     26       221      0.23     51.56    0.62    
A174     26       222      0.53     116.49   1.40    
A175     22       48       0.50     109.98   1.32    
A176     206      152      0.30     67.24    0.81    
A177     224      24       0.38     84.10    1.01    
A178     224      12       0.29     64.20    0.77    
A179     208      121      0.41     90.69    1.09    
A180     208      225      0.38     84.62    1.02    
A181     201      51       0.23     51.24    0.62    
A182     179      40       0.70     155.85   1.87    
A183     217      226      0.17     38.44    0.46    
A184     168      176      0.25     54.51    0.66    
A185     168      193      0.15     32.91    0.40    
A186     228      198      0.07     16.54    0.20    
A187     41       229      0.11     23.88    0.29    
A188     28       230      0.09     20.81    0.25    
A189     28       231      0.11     23.38    0.28    
A190     230      216      0.29     63.54    0.76    
A191     29       41       0.50     111.23   1.34    
A192     29       232      0.10     21.93    0.26    
A193     109      235      0.13     29.23    0.35    
A194     232      128      0.11     24.96    0.30    
A195     232      133      0.68     151.67   1.82    
A196     236      183      0.29     64.12    0.77    
A197     236      237      0.38     84.79    1.02    
A198     239      215      0.23     51.62    0.62    
A199     205      149      0.38     85.38    1.03    
A200     240      207      0.38     83.73    1.01    
A201     240      208      0.70     154.59   1.86    
A202     242      218      0.35     77.90    0.94    
A203     170      201      0.13     29.03    0.35    
A204     170      57       0.25     55.73    0.67    
A205     147      220      0.55     122.60   1.47    
A206     150      243      0.26     57.72    0.69    
A207     244      53       1.05     233.45   2.81    
A208     114      231      0.11     24.77    0.30    
A209     245      76       0.09     20.06    0.24    
A210     200      246      0.59     131.43   1.58    
A211     200      247      0.32     71.61    0.86    
A212     241      204      0.36     79.80    0.96    
A213     250      251      0.26     57.12    0.69    
A214     250      252      0.85     188.25   2.26    
A215     253      166      0.41     91.21    1.10    
A216     253      200      0.50     109.85   1.32    
A217     254      159      0.22     49.70    0.60    
A218     84       104      0.19     41.97    0.50    
A219     84       119      0.12     26.42    0.32    
A220     167      253      0.25     55.52    0.67    
A221     167      256      0.33     72.18    0.87    
A222     257      239      0.07     16.35    0.20    
A223     214      239      0.77     170.99   2.06    
A224     214      252      0.50     110.18   1.32    
A225     246      179      0.36     80.25    0.96    
A226     258      242      0.21     46.41    0.56    
A227     258      259      0.62     137.50   1.65    
A228     163      133      0.28     61.43    0.74    
A229     163      129      0.69     152.60   1.83    
A230     215      115      0.49     108.01   1.30    
A231     215      260      0.25     54.52    0.66    
A232     194      33       0.14     32.09    0.39    
A233     194      187      0.42     92.82    1.12    
A234     37       91       0.35     78.42    0.94    
A235     37       118      0.14     30.37    0.37    
A236     255      228      0.04     8.90     0.11    
A237     262      150      0.49     108.04   1.30    
A238     262      263      0.28     63.15    0.76    
A239     134      246      0.33     73.41    0.88    
A240     260      264      0.35     77.39    0.93    
A241     260      265      0.71     156.49   1.88    
A242     129      130      0.15     32.57    0.39    
A243     129      112      0.38     83.92    1.01    
A244     129      28       0.41     90.53    1.09    
A245     221      110      0.32     70.80    0.85    
A246     266      151      1.01     224.98   2.70    
A247     188      267      0.21     46.89    0.56    
A248     188      268      0.56     124.87   1.50    
A249     269      270      0.35     77.80    0.94    
A250     269      271      0.29     64.96    0.78    
A251     209      248      0.14     30.33    0.36    
A252     267      146      0.37     82.36    0.99    
A253     267      20       0.46     102.05   1.23    
A254     192      30       0.19     41.63    0.50    
A255     66       19       0.24     53.57    0.64    
A256     66       146      0.47     104.70   1.26    
A257     261      227      0.21     47.37    0.57    
A258     87       122      0.31     68.01    0.82    
A259     57       177      0.38     83.58    1.00    
A260     57       224      0.17     38.15    0.46    
A261     141      190      0.44     98.30    1.18    
A262     141      191      0.31     67.82    0.82    
A263     272      253      0.33     73.85    0.89    
A264     60       199      0.56     124.14   1.49    
A265     268      58       0.29     65.06    0.78    
A266     268      60       0.38     84.05    1.01    
A267     222      242      0.62     137.65   1.65    
A268     222      219      0.36     79.55    0.96    
A269     273      152      0.24     54.32    0.65    
A270     273      211      0.73     161.42   1.94    
A271     23       171      0.32     70.52    0.85    
A272     23       274      0.37     81.34    0.98    
A273     210      161      0.50     110.44   1.33    
A274     210      275      0.30     65.92    0.79    
A275     123      96       0.33     74.08    0.89    
A276     123      37       0.19     42.16    0.51    
A277     125      107      0.18     40.98    0.49    
A278     229      255      0.11     23.99    0.29    
A279     229      261      0.11     23.64    0.28    
A280     276      258      0.48     105.95   1.27    
A281     276      269      0.69     153.34   1.84    
A282     148      192      0.35     77.27    0.93    
A283     148      32       0.21     46.98    0.56    
A284     247      135      0.34     74.40    0.89    
A285     264      99       0.49     108.83   1.31    
A286     264      277      0.12     27.44    0.33    
A287     13       15       0.21     46.69    0.56    
A288     13       66       0.52     116.02   1.39    
A289     279      225      0.35     76.93    0.92    
A290     38       123      0.21     46.16    0.55    
A291     38       125      0.13     27.87    0.33    
A292     280      250      0.24     52.30    0.63    
A293     282      264      0.54     120.31   1.45    
A294     282      283      0.14     31.93    0.38    
A295     99       285      0.24     53.33    0.64    
A296     160      173      0.46     101.56   1.22    
A297     160      172      0.10     21.35    0.26    
A298     286      244      0.30     66.31    0.80    
A299     286      245      0.79     174.52   2.10    
A300     237      287      0.42     92.40    1.11    
A301     101      127      0.32     71.20    0.86    
A302     101      288      0.26     57.28    0.69    
A303     287      182      0.94     208.03   2.50    
A304     251      257      0.24     52.66    0.63    
A305     284      280      0.48     106.10   1.28    
A306     278      269      0.42     93.68    1.13    
A307     116      284      0.24     52.59    0.63    
A308     277      72       0.13     27.99    0.34    
A309     277      283      0.50     110.91   1.33    
A310     47       69       0.13     29.38    0.35    
A311     47       290      0.48     105.53   1.27    
A312     71       290      0.14     31.22    0.38    
A313     265      266      0.09     20.91    0.25    
A314     265      291      0.16     36.24    0.44    
A315     265      213      0.25     55.89    0.67    
A316     256      292      0.32     69.97    0.84    
A317     243      214      0.51     113.93   1.37    
A318     243      293      0.49     108.84   1.31    
A319     293      262      0.26     57.12    0.69    
A320     235      3        0.30     66.25    0.80    
A321     235      2        0.33     73.36    0.88    
A322     270      294      0.16     35.25    0.42    
A323     35       195      0.25     55.86    0.67    
A324     35       67       0.54     120.70   1.45    
A325     199      188      0.39     86.60    1.04    
A326     199      35       0.82     182.84   2.20    
A327     79       21       0.20     43.61    0.52    
A328     79       274      0.56     124.88   1.50    
A329     283      271      0.10     23.22    0.28    
A330     80       276      0.25     55.26    0.66    
A331     49       78       0.25     54.58    0.66    
A332     49       276      0.37     81.27    0.98    
A333     274      148      0.45     99.68    1.20    
A334     274      147      0.49     109.56   1.32    
A335     295      139      0.38     83.77    1.01    
A336     295      49       0.11     23.39    0.28    
A337     290      139      0.30     67.36    0.81    
A338     290      296      0.41     91.74    1.10    
A339     173      22       0.62     136.46   1.64    
A340     271      72       0.47     105.33   1.27    
A341     271      296      0.38     84.63    1.02    
A342     158      295      0.83     183.93   2.21    
A343     219      24       0.43     95.68    1.15    
A344     219      13       0.46     101.10   1.22    
A345     227      27       0.11     25.08    0.30    
A346     298      287      0.21     47.16    0.57    
A347     63       202      0.31     68.69    0.83    
A348     63       298      1.24     275.26   3.31    
A349     31       236      0.38     83.32    1.00    
A350     31       254      0.23     52.02    0.63    
A351     292      299      0.30     66.47    0.80    
A352     275      272      0.32     71.29    0.86    
A353     275      292      0.25     56.15    0.67    
A354     135      161      0.29     65.01    0.78    
A355     135      275      0.50     110.48   1.33    
A356     151      240      0.39     87.20    1.05    
A357     151      279      0.34     75.74    0.91    
A358     294      266      0.19     41.16    0.49    
A359     294      265      0.19     42.91    0.52    
A360     294      291      0.17     38.76    0.47    
A361     225      126      0.54     120.71   1.45    
A362     225      278      0.64     142.85   1.72    
A363     127      157      0.20     44.78    0.54    
A364     191      286      0.15     34.32    0.41    
A365     191      249      0.04     9.90     0.12    
A366     259      222      0.25     55.56    0.67    
A367     259      288      0.31     68.28    0.82    
A368     182      236      0.18     39.25    0.47    
A369     182      254      0.36     79.80    0.96    
A370     252      293      0.44     97.22    1.17    
A371     285      115      0.24     53.46    0.64    
A372     285      260      0.49     108.14   1.30    
A373     263      149      0.49     109.58   1.32    
A374     263      241      0.40     87.99    1.06    
A375     42       232      0.37     82.71    0.99    
A376     299      209      0.37     81.00    0.97    
A377     299      210      0.26     56.79    0.68    
A378     144      106      0.06     12.74    0.15    
A379     291      282      0.32     70.41    0.85    
A380     231      82       0.10     23.03    0.28    
A381     231      124      0.20     43.50    0.52    
A382     68       196      0.26     56.61    0.68    
A383     220      79       0.40     88.04    1.06    
A384     220      80       0.28     61.98    0.74    
A385     296      295      0.20     44.13    0.53    
A386     301      145      0.62     137.81   1.66    
A387     2        189      0.21     46.18    0.56    
A388     288      221      0.23     51.81    0.62    
A389     106      98       1.77     392.27   4.71    
A390     32       267      0.57     126.02   1.51    
A391     32       268      0.22     48.79    0.59    
A392     3        52       0.14     31.12    0.37    

ARC      FROM N.  TO N.    T. COST 
NrA1     17       18       177.50  
NrA2     43       44       37.16   
NrA3     46       43       14.69   
NrA4     48       46       36.10   
NrA5     44       48       15.09   
NrA6     45       74       84.83   
NrA7     75       77       32.85   
NrA8     18       40       9.01    
NrA9     18       81       237.89  
NrA10    93       94       313.96  
NrA11    93       95       11.63   
NrA12    70       98       14.28   
NrA13    122      123      41.17   
NrA14    145      73       15.48   
NrA15    81       93       99.21   
NrA16    180      17       51.21   
NrA17    180      181      26.35   
NrA18    50       159      11.21   
NrA19    179      81       12.24   
NrA20    217      227      38.53   
NrA21    228      181      7.55    
NrA22    233      109      19.37   
NrA23    233      234      79.62   
NrA24    238      233      144.80  
NrA25    114      230      60.05   
NrA26    245      77       34.80   
NrA27    77       249      317.62  
NrA28    181      255      8.63    
NrA29    181      17       28.84   
NrA30    255      261      22.65   
NrA31    125      234      19.82   
NrA32    234      39       64.38   
NrA33    39       180      183.45  
NrA34    226      228      25.88   
NrA35    226      198      29.63   
NrA36    249      238      209.85  
NrA37    127      259      30.55   
NrA38    301      144      16.09   
NrA39    2        238      19.66   
NrA40    106      301      34.21   
