Name:          Centro_Campos
Optimal value: 2400            
#Vehicles:     -1          
Capacity:      10000       
Depot Node:    91           
#Nodes:        298         
#Edges:        67          
#Arcs:         425         
#Required N:   4           
#Required E:   64          
#Required A:   385         

ReN.     DEMAND   S.COST  
N96      580      6
N243     970      8
N288     650      5
N209     729      5

ReE.     From N.  To N.    T. COST  DEMAND   S.COST  
A13      24       25       0.18     133.15   0.49    
A14      24       26       0.36     40.81    0.96    
A15      27       28       0.21     79.91    0.56    
A16      27       29       0.33     46.68    0.89    
A17      30       31       0.25     74.25    0.66    
A18      30       32       0.48     54.86    1.29    
A19      33       35       0.27     57.40    0.72    
A20      34       11       0.22     57.40    0.59    
A21      36       37       0.22     49.48    0.58    
A22      36       38       0.17     48.44    0.47    
A23      40       41       0.38     19.02    1.01    
A24      40       42       0.27     83.71    0.72    
A25      43       44       0.11     59.88    0.30    
A26      43       45       0.03     24.73    0.09    
A27      46       47       0.43     9.78     1.13    
A28      48       46       0.11     94.39    0.29    
A29      48       49       0.81     24.03    2.17    
A30      44       50       1.88     10.04    5.02    
A31      51       1        0.13     418.06   0.36    
A32      51       52       0.25     29.58    0.66    
A33      52       56       0.19     178.52   0.51    
A34      52       57       0.47     42.21    1.25    
A35      58       31       0.31     81.84    0.82    
A36      59       60       0.30     81.84    0.80    
A37      61       63       0.34     105.82   0.91    
A38      64       66       0.34     51.90    0.90    
A39      69       70       0.16     82.27    0.42    
A40      72       70       0.48     106.54   1.28    
A41      72       71       0.19     106.56   0.51    
A42      45       73       0.18     42.81    0.49    
A43      75       76       0.10     56.46    0.28    
A44      79       81       0.16     62.11    0.43    
A45      74       44       0.43     35.62    1.14    
A46      82       26       0.12     77.40    0.32    
A47      83       84       0.05     26.60    0.13    
A48      85       82       0.16     11.19    0.44    
A49      85       86       0.25     36.57    0.67    
A50      87       89       0.16     28.56    0.43    
A51      93       94       0.02     50.73    0.07    
A52      70       96       0.26     9.50     0.70    
A53      5        98       0.08     7.29     0.22    
A54      99       83       0.21     18.03    0.57    
A55      86       99       0.10     47.51    0.26    
A56      56       84       0.20     21.98    0.55    
A57      101      102      0.02     32.73    0.05    
A58      95       43       0.73     4.41     1.94    
A59      95       103      0.20     161.66   0.53    
A60      25       99       0.15     77.40    0.39    
A61      104      106      0.03     31.02    0.07    
A62      107      80       0.05     5.97     0.13    
A63      107      89       0.22     11.09    0.59    
A64      108      109      0.32     48.88    0.86    
A65      80       111      0.20     62.11    0.52    
A66      112      113      0.26     43.48    0.69    
A67      88       85       0.17     57.43    0.46    
A68      114      101      0.11     50.73    0.30    
A69      114      115      0.19     25.00    0.50    
A70      117      36       0.21     37.43    0.57    
A71      110      4        0.05     47.51    0.15    
A72      119      116      0.02     58.94    0.05    
A73      89       85       0.12     27.40    0.32    
A74      94       86       0.19     26.98    0.51    
A75      94       83       0.12     42.60    0.33    
A76      115      87       0.18     58.94    0.47    
A77      102      117      0.24     39.13    0.65    
A78      102      121      0.25     53.91    0.68    
A79      116      122      0.15     42.19    0.40    
A80      123      124      0.07     86.06    0.18    
A81      125      126      0.13     14.83    0.35    
A82      125      127      0.05     28.81    0.14    
A83      127      29       0.11     12.04    0.29    
A84      133      46       0.44     151.41   1.19    
A85      132      63       0.47     151.41   1.24    
A86      7        134      0.45     103.39   1.20    
A87      7        135      0.21     99.79    0.55    
A88      54       7        1.19     44.29    3.17    
A89      54       136      0.29     263.91   0.78    
A90      73       137      0.63     64.89    1.69    
A91      138      74       0.09     140.68   0.23    
A92      55       75       1.72     178.52   4.58    
A93      139      140      0.28     380.95   0.75    
A94      139      141      0.51     62.29    1.36    
A95      142      92       0.68     113.38   1.81    
A96      147      148      0.42     56.56    1.13    
A97      149      30       0.31     93.79    0.83    
A98      149      150      0.32     68.72    0.85    
A99      14       6        0.15     70.36    0.41    
A100     14       136      1.15     34.21    3.07    
A101     136      131      0.53     255.83   1.42    
A102     136      151      0.39     118.43   1.04    
A103     152      154      0.51     57.80    1.37    
A104     16       155      0.08     113.71   0.20    
A105     8        156      0.15     16.79    0.40    
A106     8        157      0.19     33.50    0.50    
A107     158      160      0.08     96.55    0.22    
A108     153      161      0.13     57.80    0.34    
A109     162      156      0.17     66.03    0.46    
A110     162      157      0.15     38.40    0.39    
A111     156      9        0.16     32.45    0.43    
A112     156      14       0.47     35.45    1.26    
A113     163      162      0.32     104.44   0.86    
A114     163      164      0.14     71.63    0.38    
A115     92       165      0.50     31.76    1.34    
A116     92       166      0.33     111.36   0.89    
A117     50       169      0.59     7.46     1.57    
A118     170      59       0.14     130.94   0.38    
A119     151      61       0.65     66.25    1.72    
A120     151      172      0.56     143.40   1.48    
A121     159      173      0.16     96.55    0.43    
A122     174      175      0.46     35.95    1.23    
A123     176      177      0.32     101.93   0.84    
A124     176      178      0.41     70.29    1.11    
A125     173      23       0.47     50.12    1.25    
A126     180      181      0.07     103.88   0.20    
A127     172      182      0.55     16.53    1.47    
A128     185      117      0.26     25.88    0.68    
A129     11       163      0.16     56.86    0.42    
A130     11       180      0.25     34.54    0.67    
A131     182      10       0.17     55.62    0.46    
A132     182      34       0.26     38.49    0.69    
A133     20       174      0.21     57.67    0.56    
A134     20       155      0.45     46.85    1.21    
A135     183      186      0.30     241.58   0.79    
A136     76       55       0.51     65.55    1.36    
A137     165      187      0.18     157.38   0.48    
A138     134      8        0.13     40.09    0.34    
A139     134      188      0.20     27.99    0.53    
A140     177      51       0.22     44.20    0.58    
A141     177      134      0.22     48.51    0.58    
A142     189      68       0.12     258.85   0.33    
A143     191      192      0.50     27.20    1.32    
A144     191      193      0.38     110.02   1.00    
A145     161      194      0.24     157.38   0.65    
A146     109      195      0.70     53.89    1.86    
A147     109      196      0.38     155.12   1.01    
A148     67       130      1.03     90.59    2.73    
A149     192      197      0.25     54.50    0.65    
A150     192      198      0.38     54.48    1.02    
A151     164      12       0.25     84.72    0.67    
A152     164      16       0.26     55.93    0.71    
A153     195      191      0.51     58.73    1.35    
A154     195      199      0.37     112.63   0.98    
A155     200      152      0.03     81.56    0.09    
A156     202      203      0.26     205.19   0.68    
A157     202      204      0.73     56.94    1.94    
A158     205      4        0.15     161.76   0.40    
A159     205      108      0.05     33.66    0.13    
A160     121      27       0.09     10.41    0.24    
A161     121      206      0.11     19.59    0.29    
A162     207      64       0.22     24.02    0.58    
A163     207      208      0.63     47.98    1.68    
A164     207      209      0.47     140.01   1.26    
A165     201      154      0.39     105.09   1.04    
A166     26       210      0.23     205.19   0.62    
A167     26       211      0.53     51.56    1.40    
A168     22       48       0.50     116.49   1.32    
A169     194      142      0.30     109.98   0.81    
A170     213      24       0.38     63.34    1.01    
A171     213      12       0.29     84.10    0.77    
A172     196      118      0.41     64.20    1.09    
A173     196      214      0.38     90.69    1.02    
A174     188      51       0.23     84.62    0.62    
A175     166      40       0.70     63.34    1.87    
A176     206      215      0.17     8.15     0.46    
A177     155      163      0.25     25.65    0.66    
A178     155      180      0.15     54.51    0.40    
A179     217      185      0.07     32.91    0.20    
A180     41       218      0.11     5.03     0.29    
A181     28       219      0.09     23.88    0.25    
A182     28       220      0.11     20.81    0.28    
A183     219      205      0.29     23.38    0.76    
A184     29       41       0.50     63.54    1.34    
A185     29       221      0.10     111.23   0.26    
A186     106      224      0.13     12.89    0.35    
A187     221      125      0.11     29.23    0.30    
A188     221      225      1.21     24.96    3.22    
A189     226      170      0.29     267.95   0.77    
A190     226      227      0.38     64.12    1.02    
A191     229      204      0.23     96.38    0.62    
A192     193      139      0.38     51.62    1.03    
A193     230      195      0.38     111.68   1.01    
A194     230      196      0.70     83.73    1.86    
A195     232      207      0.35     111.80   0.94    
A196     157      188      0.13     77.90    0.35    
A197     157      57       0.25     29.03    0.67    
A198     233      209      0.55     55.73    1.47    
A199     140      234      0.26     122.60   0.69    
A200     235      53       1.05     57.72    2.81    
A201     111      220      0.11     36.01    0.30    
A202     236      76       0.09     39.97    0.24    
A203     187      237      0.59     23.16    1.58    
A204     187      238      0.32     131.43   0.86    
A205     231      192      0.36     71.61    0.96    
A206     241      242      0.26     211.41   0.69    
A207     241      243      0.85     57.12    2.26    
A208     244      153      0.41     188.25   1.10    
A209     244      187      0.50     91.21    1.32    
A210     245      149      0.22     109.85   0.60    
A211     81       101      0.19     19.20    0.50    
A212     81       115      0.12     41.97    0.32    
A213     154      244      0.25     26.42    0.67    
A214     154      247      0.33     55.52    0.87    
A215     248      229      0.07     92.03    0.20    
A216     203      229      0.77     16.35    2.06    
A217     203      243      0.50     170.99   1.32    
A218     237      166      0.36     110.18   0.96    
A219     249      232      0.21     80.25    0.56    
A220     249      250      0.62     46.41    1.65    
A221     199      251      0.63     137.58   1.67    
A222     199      126      0.70     139.01   1.87    
A223     204      112      0.49     155.65   1.30    
A224     204      252      0.25     108.01   0.66    
A225     181      33       0.14     54.52    0.39    
A226     181      174      0.42     32.09    1.12    
A227     37       88       0.35     92.82    0.94    
A228     37       114      0.14     78.42    0.37    
A229     246      217      0.04     30.37    0.11    
A230     254      140      0.49     15.08    1.30    
A231     254      255      0.28     108.04   0.76    
A232     251      237      0.33     63.15    0.88    
A233     252      256      0.35     121.09   0.93    
A234     252      257      0.71     77.39    1.88    
A235     126      127      0.15     156.49   0.39    
A236     126      109      0.38     32.57    1.01    
A237     126      28       0.41     83.92    1.09    
A238     210      107      0.32     90.53    0.85    
A239     258      141      1.01     70.80    2.70    
A240     175      259      0.21     224.98   0.56    
A241     175      260      0.56     46.89    1.50    
A242     261      262      0.35     124.87   0.94    
A243     261      263      0.29     77.80    0.78    
A244     197      239      0.14     64.96    0.36    
A245     259      233      0.57     30.33    1.53    
A246     259      20       0.46     127.45   1.23    
A247     179      30       0.19     50.12    0.50    
A248     66       19       0.24     41.63    0.64    
A249     66       179      1.40     53.57    3.74    
A250     253      216      0.21     311.41   0.57    
A251     84       119      0.31     47.37    0.82    
A252     57       164      0.38     68.01    1.00    
A253     57       213      0.17     83.58    0.46    
A254     135      177      0.44     38.15    1.18    
A255     135      178      0.31     36.01    0.82    
A256     264      244      0.33     67.82    0.89    
A257     60       186      0.56     55.44    1.49    
A258     260      58       0.29     124.14   0.78    
A259     260      60       0.38     65.06    1.01    
A260     211      232      0.62     84.05    1.65    
A261     211      208      0.36     137.65   0.96    
A262     265      142      0.24     79.55    0.65    
A263     265      200      0.73     5.12     1.94    
A264     23       158      0.32     161.42   0.85    
A265     23       266      0.37     70.52    0.98    
A266     267      104      0.15     81.34    0.39    
A267     198      199      1.01     32.31    2.68    
A268     198      268      0.30     223.04   0.79    
A269     120      93       0.33     14.37    0.89    
A270     120      37       0.19     74.08    0.51    
A271     122      267      0.03     42.16    0.08    
A272     218      246      0.11     17.41    0.29    
A273     218      253      0.11     23.99    0.28    
A274     270      249      0.48     23.64    1.27    
A275     270      261      0.69     105.95   1.84    
A276     238      225      0.33     111.48   0.88    
A277     256      96       0.49     73.12    1.31    
A278     256      271      0.12     108.83   0.33    
A279     13       15       0.21     141.99   0.56    
A280     13       66       0.52     46.69    1.39    
A281     273      214      0.35     116.02   0.92    
A282     38       120      0.21     141.99   0.55    
A283     38       122      0.14     46.16    0.37    
A284     274      241      0.24     30.40    0.63    
A285     96       276      0.24     55.38    0.64    
A286     277      256      0.54     53.33    1.45    
A287     277      278      0.14     120.31   0.38    
A288     280      169      0.94     49.15    2.50    
A289     281      235      0.30     208.03   0.80    
A290     281      236      0.79     66.31    2.10    
A291     150      160      0.46     174.52   1.22    
A292     150      159      0.10     101.56   0.26    
A293     227      280      0.42     54.55    1.11    
A294     98       124      0.32     92.40    0.84    
A295     98       282      0.26     70.06    0.69    
A296     242      248      0.24     57.28    0.63    
A297     272      261      0.42     48.85    1.13    
A298     279      274      0.48     49.15    1.28    
A299     271      72       0.13     106.10   0.34    
A300     271      278      0.50     27.99    1.33    
A301     113      279      0.24     92.03    0.63    
A302     284      285      0.28     52.59    0.74    
A303     47       69       0.13     85.85    0.35    
A304     47       287      0.48     29.38    1.27    
A305     224      3        0.30     105.53   0.80    
A306     224      2        0.33     66.25    0.88    
A307     257      258      0.09     167.78   0.25    
A308     257      288      0.16     20.91    0.44    
A309     257      202      0.25     36.24    0.67    
A310     71       287      0.14     106.54   0.38    
A311     247      289      0.32     55.44    0.84    
A312     234      203      0.51     69.97    1.37    
A313     234      290      0.49     113.93   1.31    
A314     290      254      0.26     108.84   0.69    
A315     262      291      0.16     90.78    0.42    
A316     35       182      0.25     35.25    0.67    
A317     35       67       0.54     55.86    1.45    
A318     186      175      0.39     120.70   1.04    
A319     186      35       0.82     86.60    2.20    
A320     285      21       0.20     182.84   0.52    
A321     285      266      0.56     43.61    1.50    
A322     278      263      0.10     124.88   0.28    
A323     286      270      0.25     23.22    0.66    
A324     266      233      0.49     85.85    1.32    
A325     266      32       0.66     109.56   1.76    
A326     49       270      0.37     146.59   0.98    
A327     49       284      0.25     81.27    0.66    
A328     292      133      0.38     54.58    1.01    
A329     292      49       0.11     83.77    0.28    
A330     287      133      0.30     23.39    0.81    
A331     287      293      0.41     67.36    1.10    
A332     160      22       0.62     91.74    1.64    
A333     263      72       0.47     42.85    1.27    
A334     263      293      0.38     105.33   1.02    
A335     148      292      0.83     122.10   2.21    
A336     208      24       0.43     19.72    1.15    
A337     208      13       0.46     95.68    1.22    
A338     216      27       0.11     17.52    0.30    
A339     295      280      0.21     62.41    0.57    
A340     63       189      0.31     62.41    0.83    
A341     63       295      1.24     68.69    3.31    
A342     31       226      0.38     275.26   1.00    
A343     31       245      0.23     83.32    0.63    
A344     289      296      0.30     52.02    0.80    
A345     268      264      0.32     66.47    0.86    
A346     268      289      0.25     71.29    0.67    
A347     225      191      0.67     56.15    1.79    
A348     225      268      0.50     148.59   1.34    
A349     141      230      0.39     111.71   1.05    
A350     141      273      0.34     87.20    0.91    
A351     291      258      0.19     75.74    0.49    
A352     291      257      0.19     41.16    0.52    
A353     291      288      0.17     42.91    0.47    
A354     214      123      0.54     38.76    1.45    
A355     214      272      0.64     120.50   1.72    
A356     124      147      0.21     142.85   0.55    
A357     178      281      0.15     20.69    0.41    
A358     178      240      0.04     34.32    0.12    
A359     250      211      0.25     9.90     0.67    
A360     250      282      0.31     55.56    0.82    
A361     169      226      0.18     68.28    0.47    
A362     169      245      0.36     39.25    0.96    
A363     243      290      0.44     72.85    1.17    
A364     276      112      0.24     97.22    0.64    
A365     276      252      0.49     53.46    1.30    
A366     255      139      0.49     17.52    1.32    
A367     255      231      0.40     109.58   1.06    
A368     42       221      0.37     87.99    0.99    
A369     296      197      0.37     73.91    0.97    
A370     296      198      0.26     81.00    0.68    
A371     137      103      0.06     56.79    0.15    
A372     288      277      0.32     12.74    0.85    
A373     220      79       0.10     70.41    0.28    
A374     220      121      0.20     23.03    0.52    
A375     68       183      0.26     82.27    0.68    
A376     209      285      0.40     56.61    1.06    
A377     209      286      0.28     88.04    0.74    
A378     293      292      0.20     61.98    0.53    
A379     298      138      0.62     44.13    1.66    
A380     2        176      0.21     10.71    0.56    
A381     282      210      0.23     14.06    0.62    
A382     103      95       1.77     51.81    4.71    
A383     32       259      0.57     22.77    1.51    
A384     32       260      0.22     126.02   0.59    
A385     3        52       0.14     57.54    0.37    

ARC      FROM N.  TO N.    T. COST 
NrA1     17       18       177.50  
NrA2     46       43       14.69   
NrA3     44       48       15.09   
NrA4     45       74       84.83   
NrA5     75       77       32.85   
NrA6     18       40       9.01    
NrA7     18       78       237.89  
NrA8     90       91       313.96  
NrA9     90       92       11.63   
NrA10    70       95       14.28   
NrA11    119      120      41.17   
NrA12    138      73       15.48   
NrA13    78       90       99.21   
NrA14    167      17       51.21   
NrA15    167      168      26.35   
NrA16    50       149      11.21   
NrA17    166      78       12.24   
NrA18    206      216      38.53   
NrA19    217      168      7.55    
NrA20    222      223      54.12   
NrA21    222      106      19.37   
NrA22    228      222      144.80  
NrA23    111      219      60.05   
NrA24    236      77       34.80   
NrA25    77       240      317.62  
NrA26    168      246      8.63    
NrA27    168      17       28.84   
NrA28    246      253      22.65   
NrA29    223      269      25.51   
NrA30    223      267      21.58   
NrA31    122      269      26.16   
NrA32    269      39       64.38   
NrA33    39       167      183.45  
NrA34    215      217      25.88   
NrA35    215      185      29.63   
NrA36    240      228      209.85  
NrA37    124      250      31.09   
NrA38    298      137      16.09   
NrA39    2        228      21.13   
NrA40    103      298      34.21   
